Big_5_Openness,OPENNESS_PERC
Big_5_Conscientiousness,CONSCIENTIOUSNESS_PERC
Big_5_Extraversion,EXTRAVERSION_PERC
Big_5_Agreeableness,AGREEABLENESS_PERC
Big_5_Emotional_range,NEUROTICISM_PERC
Needs_Challenge,CHALLENGE_PERC
Needs_Closeness,CLOSENESS_PERC
Needs_Curiosity,CURIOSITY_PERC
Needs_Excitement,EXCITEMENT_PERC
Needs_Harmony,HARMONY_PERC
Needs_Ideal,IDEAL_PERC
Needs_Liberty,LIBERTY_PERC
Needs_Love,LOVE_PERC
Needs_Practicality,PRACTICALITY_PERC
Needs_Self-expression,SELF-EXPRESSION_PERC
Needs_Stability,STABILITY_PERC
Needs_Structure,STRUCTURE_PERC
Values_Conservation,CONSERVATION_PERC
Values_Openness_to_change,OPENNESS_TO_CHANGE_PERC
Values_Hedonism,HEDONISM_PERC
Values_Self-enhancement,SELF-ENHANCEMENT_PERC
Values_Self-transcendence,SELF-TRANSCENDENCE_PERC
Big_5_Openness_Adventurousness,ADVENTUROUSNESS_PERC
Big_5_Openness_Artistic_interests,ARTISTIC_INTERESTS_PERC
Big_5_Openness_Emotionality,EMOTIONALITY_PERC
Big_5_Openness_Imagination,IMAGINATION_PERC
Big_5_Openness_Intellect,INTELLECT_PERC
Big_5_Openness_Authority-challenging,LIBERALISM_PERC
Big_5_Conscientiousness_Achievement_striving,ACHIEVEMENT_STRIVING_PERC
Big_5_Conscientiousness_Cautiousness,CAUTIOUSNESS_PERC
Big_5_Conscientiousness_Dutifulness,DUTIFULNESS_PERC
Big_5_Conscientiousness_Orderliness,ORDERLINESS_PERC
Big_5_Conscientiousness_Self-discipline,SELF-DISCIPLINE_PERC
Big_5_Conscientiousness_Self-efficacy,SELF-EFFICACY_PERC
Big_5_Extraversion_Activity_level,ACTIVITY_LEVEL_PERC
Big_5_Extraversion_Assertiveness,ASSERTIVENESS_PERC
Big_5_Extraversion_Cheerfulness,CHEERFULNESS_PERC
Big_5_Extraversion_Excitement-seeking,EXCITEMENT-SEEKING_PERC
Big_5_Extraversion_Outgoing,FRIENDLINESS_PERC
Big_5_Extraversion_Gregariousness,GREGARIOUSNESS_PERC
Big_5_Agreeableness_Altruism,ALTRUISM_PERC
Big_5_Agreeableness_Cooperation,COOPERATION_PERC
Big_5_Agreeableness_Modesty,MODESTY_PERC
Big_5_Agreeableness_Uncompromising,MORALITY_PERC
Big_5_Agreeableness_Sympathy,SYMPATHY_PERC
Big_5_Agreeableness_Trust,TRUST_PERC
Big_5_Emotional_range_Fiery,ANGER_PERC
Big_5_Emotional_range_Prone_to_worry,ANXIETY_PERC
Big_5_Emotional_range_Melancholy,DEPRESSION_PERC
Big_5_Emotional_range_Immoderation,IMMODERATION_PERC
Big_5_Emotional_range_Self-consciousness,SELF-CONSCIOUSNESS_PERC
Big_5_Emotional_range_Susceptible_to_stress,VULNERABILITY_PERC
